$R$;	$\alpha_{\text{DoubleRLPN-BJMM12}}$; $\beta_{\text{DoubleRLPN-BJMM12}}$;	$\sigma$;	$R_{\text{aux}}$;	$\nu$;	$\omega$;	$\ell_1$;	$\ell_2$;	$\pi_1$;	$\pi_2$;	$\tau$
0.4000000000;	0.0935278361;	0.0877732922;	0.2497408520;	0.0877700807;	0.1227260189;	0.0428218181;	0.0259039595;	0.0624868064;	0.0118847388;	0.0233934105;	0.1461024034
0.4100000000;	0.0941700535;	0.0878000132;	0.2624218506;	0.0877992190;	0.1187461654;	0.0425258294;	0.0254256082;	0.0597780374;	0.0116685166;	0.0229693072;	0.1422109765
0.4200000000;	0.0947697883;	0.0873065593;	0.2732336847;	0.0873054740;	0.1155535021;	0.0424444892;	0.0253884845;	0.0594604952;	0.0116393113;	0.0229057759;	0.1383874276
0.4300000000;	0.0952966523;	0.0878872586;	0.2805645818;	0.0878856570;	0.1117427115;	0.0434006346;	0.0261471136;	0.0615488538;	0.0119585567;	0.0235191324;	0.1346297729
0.4400000000;	0.0957547818;	0.0880719408;	0.2906668108;	0.0880706293;	0.1080223232;	0.0436831752;	0.0262734968;	0.0612624136;	0.0120026352;	0.0235985316;	0.1309361493
0.4500000000;	0.0961492898;	0.0883431329;	0.2996120055;	0.0883409552;	0.1043899409;	0.0442398643;	0.0266670041;	0.0620460308;	0.0121648138;	0.0239077648;	0.1273048060
0.4600000000;	0.0964845973;	0.0874388333;	0.3121132045;	0.0874377593;	0.1014619582;	0.0436984694;	0.0262346342;	0.0604491009;	0.0119671579;	0.0235190053;	0.1237340954
0.4700000000;	0.0967400857;	0.0888119212;	0.3166681423;	0.0888112089;	0.0973801977;	0.0455446049;	0.0277119158;	0.0645206090;	0.0125866905;	0.0247077717;	0.1202224663
0.4800000000;	0.0969298739;	0.0880039872;	0.3276603642;	0.0880032853;	0.0945824504;	0.0453624833;	0.0276425162;	0.0643370274;	0.0125459711;	0.0246223694;	0.1167684572
0.4900000000;	0.0970556735;	0.0879693228;	0.3373929126;	0.0879665180;	0.0912634054;	0.0456988281;	0.0278748914;	0.0646386964;	0.0126366633;	0.0247918179;	0.1133706899
0.5000000000;	0.0971138214;	0.0878337540;	0.3475241185;	0.0878337540;	0.0880222916;	0.0459258466;	0.0280313397;	0.0646437284;	0.0126890304;	0.0248842766;	0.1100278644
0.5100000000;	0.0971193814;	0.0881241105;	0.3534957189;	0.0881228424;	0.0848573093;	0.0472086764;	0.0292294438;	0.0683813472;	0.0131847933;	0.0258301920;	0.1067387538
0.5200000000;	0.0970339939;	0.0868097300;	0.3672679267;	0.0868087755;	0.0822842489;	0.0462768445;	0.0284870975;	0.0659229371;	0.0128539603;	0.0251843293;	0.1035021999
